"…Ë±∏±‡¬Î","≤ ¡Â∑—","∂Ã–≈∑—","±æµÿ”Ô“ÙÕ®ª∞∑—","≥§Õæ”Ô“ÙÕ®ª∞∑—"," °ƒ⁄”Ô“Ù¬˛”Œ∑—"," °º ”Ô“Ù¬˛”Œ∑—","π˙º ”Ô“Ù≥§Õæ∑—","…œÕ¯º∞ ˝æ›Õ®–≈∑—","◊€∫œ‘ˆ÷µ∑˛ŒÒ∑—","¿¥µÁœ‘ æ∑—","◊‹∑—”√","…œÕ¯¥Œ ˝","…œÕ¯ ±≥§"," «∑Ò—”≥ŸΩ…∑—","÷˜Ω–¥Œ ˝","±ªΩ–¥Œ ˝","±æµÿÕ®ª∞¥Œ ˝"," °ƒ⁄¬˛”ŒÕ®ª∞¥Œ ˝"," °º ¬˛”ŒÕ®ª∞¥Œ ˝","π˙º ¬˛”ŒÕ®ª∞¥Œ ˝","÷˜Ω–Õ®ª∞∑÷÷” ˝","±ªΩ–Õ®ª∞∑÷÷” ˝","±æµÿÕ®ª∞∑÷÷” ˝","≥§Õæ”Ô“ÙÕ®ª∞∑÷÷” ˝"," °ƒ⁄¬˛”ŒÕ®ª∞∑÷÷” ˝"," °º ¬˛”ŒÕ®ª∞∑÷÷” ˝","π˙º ¬˛”ŒÕ®ª∞∑÷÷” ˝","»∫ƒ⁄Õ®ª∞¥Œ ˝","»∫ƒ⁄Õ®ª∞∑÷÷” ˝","»∫Õ‚Õ®ª∞¥Œ ˝","»∫Õ‚Õ®ª∞∑÷÷” ˝","√¶ ±Õ®ª∞¥Œ ˝","√¶ ±Õ®ª∞∑÷÷” ˝","œ– ±Õ®ª∞¥Œ ˝","œ– ±Õ®ª∞∑÷÷” ˝","∫Ù◊™¥Œ ˝","≤¶¥ÚÀ˚Õ¯øÕ∑˛¥Œ ˝","≤¶¥Ú÷–µÁ–≈Õ®ª∞¥Œ ˝","≤¶¥Ú÷–µÁ–≈Õ®ª∞∑÷÷” ˝","≤¶¥Ú÷–¡™Õ®Õ®ª∞¥Œ ˝","≤¶¥Ú÷–¡™Õ®Õ®ª∞∑÷÷” ˝","≤¶¥Ú÷–“∆∂ØÕ®ª∞¥Œ ˝","≤¶¥Ú÷–“∆∂ØÕ®ª∞∑÷÷” ˝","≤¶¥ÚπÃª∞Õ®ª∞¥Œ ˝","≤¶¥ÚπÃª∞Õ®ª∞∑÷÷” ˝","÷˜Ω–Õ®ª∞¡™œµ»À ˝¡ø","±ªΩ–Õ®ª∞¡™œµ»À ˝¡ø"
"531",0.56,2.38,0,5.17,2.12,1.42,0,19.82,0.76,2.65,135.8,374,22911.91667,"∑Ò",222,381,583,20,0,0,491,679,979,144,47,0,0,0,0,603,854.8,373,561,230,293.8,0,0,21,24,8,12.3,180,301,222,364.7,27,127
"532",6.34,32.26,0,23.5,9.59,6.45,0,80.92,12.78,12.26,317.59,947,34810.38333,"∑Ò",497,464,694,63,204,0,888,893,1173,73,113,422,0,0,0,961,1280.2,556,767.3,406,514.9,24,0,70,77.9,193,248.6,199,258.7,473,607.4,38,127
"533",5,17.88,0,12.3,3.16,72.63,214.66,0,0,6,409.63,0,0,"∑Ò",218,146,46,8,83,227,391,234,34,29,10,118,434,0,0,364,429.7,272,323,92,106.7,0,0,16,13.2,27,63.6,133,149,218,274.1,8,62
"534",0,9.09,32.67,28.17,0,16.62,0,14.17,15.15,3.09,135.99,93,1036.233333,"∑Ò",579,461,1004,0,36,0,955,665,1389,150,0,81,0,0,0,1040,1059.6,540,613.9,500,445.7,0,0,114,113.6,90,130.7,251,236.7,579,643.1,34,102
"535",1.72,3.65,0,9.49,3.84,2.58,0,39.34,7.64,8.1,194.3,311,38631.26667,"∑Ò",269,250,446,20,53,0,519,474,700,145,42,106,0,0,0,519,702.9,378,484.5,141,218.4,0,0,57,134.8,26,38.5,152,133.6,269,368.4,22,66
"536",5,8.9,4.35,35.38,26.22,9.64,0.49,22.74,10.49,6.3,319.89,0,0," «",948,613,1323,199,38,1,2111,1287,2573,428,331,65,1,0,0,1561,2577.6,1229,2090,332,487.6,0,0,189,315.3,115,335.9,615,945.9,948,1618.4,41,111
"537",7.6,5.48,0,18.56,5.79,14.29,0,59.16,3.64,12.18,218.93,0,0,"∑Ò",65,0,63,0,2,0,170,0,104,58,0,8,0,0,0,65,135.8,46,112.6,19,23.3,49,0,0,0,5,15.6,7,25.8,16,61.3,0,0
"538",6.84,6.42,23.85,46.77,5.69,1.53,0,30.52,2.58,8.72,205.01,1331,26455.95,"∑Ò",195,152,328,19,0,0,749,476,800,370,55,0,0,0,0,347,1040.8,230,799.8,117,240.9,0,0,29,52.2,12,29.5,127,417.3,195,644.1,21,67
"539",0.62,36.2,0,11.4,4.67,3.13,0,56.06,2.85,2.92,201.29,377,11797.65," «",598,474,1047,25,0,0,1183,781,1766,159,39,0,0,0,0,1072,1412.7,727,916.9,345,495.8,0,0,175,221,104,130,305,505.4,598,877,41,82
"540",5,3.1,2.7,6.34,2.59,1.74,0,22.82,10.52,6.31,99.8,0,0,"∑Ò",86,20,106,0,0,0,228,35,263,0,0,0,0,0,0,106,205.7,69,141.5,37,64.2,0,0,31,73.7,0,0,36,79.6,86,182.4,8,11
"541",2.16,2.9,0,3.92,1.6,36.47,0,92.38,3,12.68,179.12,197,10455.33333," «",188,193,0,0,381,0,339,325,0,0,0,664,0,0,0,381,471.2,211,263.1,170,208.1,0,0,52,70.1,33,28.2,68,109.7,188,244.7,9,37
"542",7.71,16.56,0,23.5,9.59,6.45,0,80.92,14.52,12.26,305,7,34.5,"∑Ò",567,329,751,145,0,0,832,519,1085,26,240,0,0,22,23.9,874,851,773,746,123,128.9,0,0,82,82,138,121.9,342,328.2,567,534.8,27,50
"543",0.84,7.1,0,3.43,1.4,0.94,0,94.02,6.15,4.92,138.19,272,44467.75,"∑Ò",122,158,275,0,5,0,251,299,450,93,0,7,0,0,0,280,395.4,185,273.6,95,121.8,0,0,31,65.2,11,10,72,96.8,122,185.5,12,69
"544",0,0.3,0.55,1.39,0.81,1.63,0,54.42,9.37,5.31,81.43,191,44571.15,"∑Ò",62,70,132,0,0,0,82,103,183,2,0,0,0,0,0,132,109,100,78.8,32,30.2,0,0,9,9.2,0,0,19,13.6,62,47.5,7,24
"545",5,7.8,2.55,20.81,8.51,5.71,0,22.45,30.36,6.22,224.45,11,206.0333333,"∑Ò",249,140,69,0,320,0,546,301,78,78,0,691,0,0,0,389,638.7,274,467,115,171.7,0,0,64,81.6,9,9.6,128,172.2,249,407.3,17,40
"546",5,6.1,0,6.34,2.59,1.74,0,22.82,20.52,6.31,115.1,74,2101.45,"∑Ò",219,380,574,25,0,0,397,597,916,44,34,0,0,90,161.8,509,502.7,462,535,137,129.5,0,0,106,143.8,17,19.7,91,111.6,219,285.5,15,50
"547",7.16,50.5,5,7.52,1.6,1.07,0,33.38,3,12.68,145.92,229,24912.66667,"∑Ò",126,215,341,0,0,0,203,363,548,18,0,0,0,0,0,341,387.6,224,263.2,117,124.4,0,0,7,5.7,36,27.7,83,101.4,126,134.7,15,76
"548",3.84,0,24.94,0.87,0,7.69,14.7,5.64,21.41,6.76,145.51,1,0," «",268,434,683,0,0,19,396,762,1121,7,0,0,30,0,0,702,782.2,564,594.2,138,188.1,0,0,22,17.7,12,15.8,225,203.8,268,253.6,24,62
"549",3.84,10.8,0,4.23,0,7.69,0,5.64,10.41,6.76,109.03,149,9218.616667,"∑Ò",139,158,266,31,0,0,207,241,371,30,47,0,0,0,0,297,288.4,210,203.5,87,84.9,0,0,5,5.1,16,13.1,113,95.6,139,131.5,15,56
"550",5,23.8,6.9,15.86,6.06,2.37,1.91,59.97,7.92,4.74,284.91,1527,34513.5,"∑Ò",665,670,1134,170,27,4,1363,1359,1997,384,294,42,5,0,0,1335,2033.3,959,1416.5,376,616.8,0,0,71,112.2,150,179.2,409,697.3,665,1018.6,27,110
"551",7.6,18.41,49.5,26.93,3.2,2.14,0,42.89,11.6,12.26,223.45,4,70.65," «",461,428,877,12,0,0,788,670,1209,237,12,0,0,0,0,889,979.6,645,712.6,244,267.1,0,0,91,99.2,48,46.4,281,357.9,461,538.3,25,144
"552",2.08,56.4,0,22.64,9.26,6.21,0,29.5,5.05,9.79,263.52,99,16033.66667,"∑Ò",246,935,986,195,0,0,491,1643,1656,30,448,0,0,0,0,1181,1514.2,927,1189.7,254,324.5,0,0,32,56.3,66,105.1,125,172.2,246,366.1,21,199
"553",1.34,90.82,0,16.02,3.77,2.53,16.24,46.74,26.72,6.28,300.11,536,0,"∑Ò",171,216,360,4,5,18,298,310,482,90,5,5,26,0,0,387,413.3,261,285.3,126,127.9,0,2,44,46.3,19,32.3,78,73.5,171,214.5,16,65
"554",5,0.9,5.5,21.29,7.81,3.27,0,23.39,15.8,6.48,162.7,73,2624.483333," «",396,150,533,13,0,0,877,290,897,228,42,0,0,87,70.4,459,808.5,366,589.9,180,289.1,0,0,179,272.7,12,49.2,162,270.9,396,669.7,21,31
"555",0,0.1,47.42,55.04,0,0,0,1.12,28,6,153.78,21,296.6333333,"∑Ò",116,83,199,0,0,0,435,350,697,88,0,0,0,0,0,199,681.2,144,526.8,55,154.4,0,0,4,4.8,51,194,33,64,116,377.8,19,32
"556",0,71.6,0,14.95,6.12,4.11,0,201.14,7.44,4.47,392.54,574,0," «",299,386,506,38,141,0,674,793,1000,58,73,336,0,0,0,685,1124.7,443,766.7,242,358,0,0,36,51.6,32,56.7,223,409.5,299,523.9,23,147
"557",5,3.08,14.4,3.48,18.85,0,0,65.84,59.9,8.25,199.55,84,9597.083333,"∑Ò",53,25,72,6,0,0,273,98,284,12,75,0,0,0,0,78,328.5,60,261.1,18,67.4,0,0,8,48.5,11,39.4,33,156.2,53,244.3,6,11
"558",3.79,0.31,0,7.84,3.2,2.16,1.47,15.66,16.42,11.24,106.47,37,419.75,"∑Ò",38,57,93,0,0,2,66,121,175,9,0,0,3,0,0,95,142.2,75,114,20,28.2,0,0,0,0,12,9.1,23,37.3,38,48.2,3,16
"559",1.62,3.44,0,8.89,3.65,2.43,0,37.19,2.2,7.66,194,0,0,"∑Ò",60,87,142,4,1,0,97,150,237,0,9,1,0,13,5,134,164.7,102,115.9,45,53.8,0,0,13,4.2,5,6.3,4,9.4,60,63.4,7,29
"560",0.77,12.13,0,9.72,1.71,1.15,7.86,25.53,206.62,4.5,294.59,164,31767.61667,"∑Ò",63,85,130,10,0,8,125,176,245,28,14,0,14,0,0,148,228.8,113,172.6,35,56.2,0,0,14,16.4,1,2,23,31.4,63,95.5,11,39
"561",5,2,4.2,20.74,2.59,1.74,0,22.82,20.52,6.31,130,41,969.9666667,"∑Ò",59,33,87,5,0,0,491,163,243,394,17,0,0,0,0,92,609.5,59,357.8,33,251.7,0,0,23,51,4,67.6,12,46.9,59,463.3,7,0
"562",5,8.27,2.9,28.09,8.5,5.71,17.64,52.46,35.37,6.22,299.19,1358,43764.01667," «",379,346,686,25,0,14,665,631,1165,54,41,0,36,94,124,631,798.8,531,702.5,194,220.3,17,1,141,156.1,6,7.5,156,189.5,362,445.4,25,62
"563",6.66,17.69,0,19.66,8.04,5.4,0,65.61,10.3,7.86,256,761,35654,"∑Ò",301,535,211,4,621,0,654,1257,493,3,10,1405,0,203,365.1,633,1100.7,553,946,283,519.8,0,0,79,107,5,8.6,211,362.9,301,497,13,99
"564",7.2,38.7,38.85,18.66,7.38,7.95,0,14.38,15.08,10.36,257.15,158,2496.616667,"∑Ò",294,370,656,1,7,0,1183,987,2134,7,2,27,0,0,0,664,1825.8,430,1394.8,234,431.1,0,0,10,13.2,83,325.1,130,503.3,294,1032.7,26,131
"565",0.91,2.4,4.95,4.96,2.03,1.36,0,30.22,34.27,5.33,120.54,256,6785.283333," «",204,247,422,29,0,0,357,530,820,14,53,0,0,95,121.1,356,536,289,439.5,162,217.6,0,0,65,72.2,25,19.9,97,150,204,251.6,11,63
"566",0.3,13.8,69.75,5.08,1.02,0.69,0,16.98,18.3,3.5,185.1,6,18.5,"∑Ò",366,185,551,0,0,0,859,403,1226,36,0,0,0,0,0,551,964.5,393,708.9,158,255.5,0,0,35,57.6,9,6.5,250,534.8,366,661.3,18,59
"567",1.92,15.3,5.7,14.44,12.35,64.56,0,56.51,7.67,11.24,234,161,39120.63333," «",255,264,63,42,414,0,919,607,101,44,94,1287,0,0,0,519,1253.4,374,591.4,145,662,0,0,52,464,23,30.4,174,268.4,255,774.7,11,57
"568",7.6,17.68,155.79,18.1,5.79,3.89,0.48,59.16,18.64,12.18,381.54,306,36992.4,"∑Ò",509,525,1033,0,0,1,1699,1446,3116,28,0,0,1,355,1768.3,679,858.1,597,1717.9,437,908.5,48,1,228,1081.9,38,49.7,170,195.1,461,1387.7,24,95
"569",2.3,18.5,0,23.38,8.31,5.59,19.11,69.99,20.08,10.6,293.33,645,0,"∑Ò",439,499,734,178,0,26,773,1037,1042,388,341,0,39,0,0,938,1322,595,795.9,343,526,9,0,61,59,89,92.2,230,320.8,430,538.3,20,109
"570",5,14.7,4.2,47.03,19.26,12.93,0,43.81,43.81,6.5,451.08,150,11814.76667," «",925,771,950,746,0,0,2011,1549,1313,974,1273,0,0,0,0,1696,2686.5,1257,2052.7,439,633.8,0,0,135,197.2,276,529.3,459,741.9,925,1533.3,32,157
"571",2.56,16.46,0,43.11,15.35,10.29,1.47,134.95,13.56,12.14,462,1718,33947.95,"∑Ò",59,38,65,15,14,3,119,95,112,53,19,27,3,0,0,97,165.3,79,148.8,18,16.5,0,0,0,0,2,4.4,40,52.7,59,90.9,6,0
"572",7.8,17.99,0,33.97,13.54,9.1,0,110.48,36.9,13.22,427.87,1403,42063.95,"∑Ò",101,107,68,18,122,0,272,243,108,42,28,337,0,0,0,208,408.9,170,354.3,38,54.6,0,0,5,9.1,1,3.8,87,188.9,101,222.2,6,33
"573",7.6,5.48,0,14.03,5.79,3.89,0,59.16,23.64,12.18,219,2217,41705.75," «",341,350,664,27,0,0,544,620,1108,5,51,0,0,19,12.8,672,788.2,504,613.2,187,187.9,0,0,110,130.7,3,3.1,218,221,341,364.9,31,89
"574",6.04,2.75,0,5.69,2.32,1.56,0,39.67,33.46,6.11,131,65,928.1,"∑Ò",71,73,144,0,0,0,122,132,254,0,0,0,0,0,0,144,174.7,97,117.2,47,57.5,0,0,17,13.4,14,26.2,35,36.3,71,80.9,11,33
"575",5,46.1,87.9,126.14,111.93,36.27,4.41,11.9,10,6,478.65,73,3383.516667,"∑Ò",447,209,444,157,50,5,788,354,514,239,287,93,9,0,0,656,802.8,473,583.1,183,219.7,0,0,49,43.9,67,80.3,325,430,447,558.7,29,88
"576",5,11.17,0,9.5,19.97,1.74,150.15,22.82,30.52,6.31,295.86,0,0,"∑Ò",85,61,16,29,0,101,216,170,33,11,57,0,285,0,0,146,312.1,119,278.1,27,34,0,0,6,13.4,0,0,59,132.3,85,173.9,4,23
"577",2.6,7.61,0,7.88,3.2,12.04,0,42.89,36.6,12.26,179,51,472.1,"∑Ò",191,169,298,2,60,0,427,364,440,243,5,103,0,28,70.3,332,533.8,229,403.9,131,200.2,0,0,24,44.3,12,11.1,137,255.7,191,329.6,11,88
"578",6.04,2.75,0.6,10.79,6.67,5.01,0.49,34.67,11.46,6.11,117.99,25,515.85,"∑Ò",139,101,205,12,22,1,331,188,312,142,27,37,1,46,47.6,194,341.9,174,316.7,66,72.8,0,0,72,74.6,6,12.1,30,109.6,139,254.9,11,33
"579",7.71,16.56,0,23.5,9.59,6.45,0,80.92,30.52,12.26,336,164,6623.016667,"∑Ò",172,220,392,0,0,0,233,277,486,24,0,0,0,151,113.7,241,194.2,270,208.3,122,99.7,0,0,101,84.6,8,8.4,45,36.1,172,143.6,42,87
"580",3.67,4,13.05,12.4,1.45,10.64,0,25.4,10.18,6.48,121.86,250,30283.83333,"∑Ò",71,104,134,20,21,0,284,245,352,86,39,52,0,0,0,175,444,111,216.3,64,227.7,0,0,4,7,12,29.3,49,186.4,71,247.7,3,55
"581",0,0.9,0.7,0,0,9,0,8.95,13.19,7.91,95.6,50,1121.066667,"∑Ò",88,168,5,204,47,0,212,569,15,0,659,107,0,5,12.4,251,643.9,186,577.6,70,78.7,4,0,12,23.7,10,59.9,49,65.9,84,169.6,3,37
"582",7.4,17.53,0,32.25,13.19,8.86,0,107.65,13.8,12.88,398.68,1,0.55,"∑Ò",118,153,171,100,0,0,374,354,371,7,350,0,0,0,0,271,580.3,225,489.7,46,90.6,0,0,30,30.5,21,30.2,60,236.4,118,309,12,72
"583",7.71,16.56,0,23.5,9.59,6.45,3.43,89.92,18.52,12.26,321.43,560,0,"∑Ò",77,164,218,8,10,5,147,264,314,63,11,16,7,0,0,241,283.6,198,236,43,47.7,0,0,32,24.8,5,40.5,27,27.1,77,106.3,9,52
"584",5.93,2.45,32.2,2.71,0.86,0.58,0,21.15,7.3,5.45,92.8,0,0,"∑Ò",136,161,297,0,0,0,267,279,543,3,0,0,0,1,2.2,296,380.2,207,297.1,90,85.3,0,0,8,9.9,0,0,121,179.4,136,193.9,9,31
"585",5,21.6,0,7.61,3.12,2.08,0,19.94,11.89,4.14,165.6,17,164.0666667,"∑Ò",178,211,369,20,0,0,451,717,906,216,46,0,0,0,0,389,964.1,267,754.6,122,209.5,0,0,37,67.8,34,33.1,94,224.8,178,354.8,21,95
"586",2.08,0,0,22.64,9.26,6.21,0,13.57,5.86,9.79,192,4,200.7333333,"∑Ò",23,14,0,37,0,0,39,32,0,0,71,0,0,0,0,37,53.1,31,45.5,6,7.6,0,0,0,0,0,0,19,23.4,23,28.5,2,0
"587",5,1.74,0,17.94,4.88,3.27,52.43,28.39,12.8,6.48,201.19,33,739.5166667," «",321,260,506,18,0,57,622,536,829,186,36,0,107,0,0,581,849.6,434,612.7,147,236.9,0,0,94,108.1,30,48.7,184,288.3,321,454.2,21,27
"588",5.99,2.57,0,4.47,1.82,1.23,0,24.97,21.34,5.72,119,80,8057.416667," «",57,93,147,1,2,0,89,147,220,13,1,2,0,8,6.6,142,148.9,99,86,51,69.6,0,0,2,1.4,6,11.4,35,29.4,57,57.2,4,30
"589",2.43,14.7,39.3,45.33,13.37,3.14,0,11.41,1.58,5.32,226.89,207,11708.9," «",425,300,669,56,0,0,1274,699,1343,476,154,0,0,0,0,725,1591.4,504,1209.8,221,381.6,0,0,142,311.4,48,199.9,222,504.6,425,1049.8,18,51
"590",2.28,2.9,0,13.9,5.56,3.74,0.49,14.81,3.16,10.66,132.68,0,0,"∑Ò",253,140,390,2,0,1,505,336,597,241,2,0,1,0,0,393,626.4,321,513.7,72,112.7,0,0,52,50,40,97.9,129,153.7,253,364.5,20,29
"591",2,6.9,0,12.53,4.88,3.28,0,13,12.78,9.36,130.77,156,14301,"∑Ò",282,252,534,0,0,0,516,495,918,93,0,0,0,0,0,534,730.4,442,581.2,92,149.2,0,0,11,17.8,18,25,238,309.8,282,363.1,19,85
"592",1.84,3.91,0,5.54,2.27,1.52,0.98,30.41,2.6,8.68,110.98,0,0,"∑Ò",40,26,15,49,0,2,132,75,17,32,156,0,2,2,0.4,64,172.2,47,140,19,32.6,0,0,8,16,5,38.6,26,56.6,40,111.5,6,9
"593",7.6,20.66,1.8,14.48,5.79,15.14,1.47,59.16,11.64,12.18,232.15,25,755.25,"∑Ò",269,208,428,8,39,2,691,476,857,121,11,175,3,0,0,477,911.9,341,681.4,136,230.5,0,0,96,127.5,16,40.8,132,298.5,269,544.9,26,72
"594",5,30.1,28.49,32.61,0,1.05,3.92,21.76,3.52,2.11,149.7,112,15303.31667,"∑Ò",296,155,448,0,0,3,841,362,940,255,0,0,8,0,0,451,952.8,258,649.5,193,303.3,0,0,58,77.8,29,106.4,159,385.2,296,676.9,21,69
"595",0.94,2.47,0,5.11,2.09,1.4,0,267.31,10.92,5.5,325.76,730,0,"∑Ò",98,99,197,0,0,0,218,195,348,65,0,0,0,0,0,197,302.4,133,233.6,64,68.8,0,0,13,27.6,16,24,68,112.4,98,164.4,15,32
"596",1.62,5.34,0,8.89,3.65,2.43,0,47.19,55.97,7.66,254.67,42,1285.25,"∑Ò",128,152,280,0,0,0,207,278,485,0,0,0,0,0,0,280,332.5,168,198.8,112,133.7,0,1,68,53.5,2,6.5,46,65.2,128,139,11,30
"597",5.79,18.8,0,14.69,6.01,4.03,0,54.59,22.08,3.76,280.43,108,8787.266667,"∑Ò",1269,1314,2534,15,34,0,1981,2024,3663,264,23,55,0,1023,926.8,1560,1776.8,1604,1768.3,979,935.3,0,0,655,609.7,70,60.5,504,568,1269,1340.4,78,263
"598",3.84,1.6,30.45,3.77,1.16,7.69,0,15.64,17.41,6.76,147.98,18,265,"∑Ò",226,158,354,30,0,0,422,274,570,74,52,0,0,0,0,384,492.6,247,317.4,137,175.2,0,0,32,70.7,15,22.6,167,192.5,226,304.5,22,45
"599",7.71,16.56,0,23.5,9.59,6.45,0,80.92,19.52,12.26,310,771,37949.63333,"∑Ò",383,360,601,12,130,0,760,739,998,259,17,225,0,4,5.8,739,1095.1,517,724.4,226,376.6,0,0,11,21.2,25,36.1,318,463.6,383,558.2,18,112
"600",6.92,0.2,0,7.84,3.2,2.16,0,15.66,2.67,11.24,94.2,0,0,"∑Ò",245,49,288,6,0,0,338,62,286,101,13,0,0,0,0,294,252.9,237,207.6,57,45.3,0,0,24,17.8,30,26.9,160,135.8,245,212.9,18,34
"601",2.08,61.9,0,22.64,9.26,6.21,0,82.17,8.86,9.79,330.6,1281,0,"∑Ò",344,289,476,80,77,0,642,490,775,82,122,153,0,121,164.6,512,634.5,463,553.4,170,245.6,21,0,127,168.5,21,27.3,166,226.3,323,431,23,110
"602",0,14.2,92.73,46.69,13.63,0,0.49,0,19,6,195.04,7,57.58333333,"∑Ò",621,657,1230,47,0,1,1208,1065,2023,161,88,0,1,191,201.2,1087,1415.4,891,1161.2,387,455.4,0,0,185,259.5,78,162,357,460,621,886.1,30,106
"603",0,0,52.26,1.12,0,0,0,0,0,6,92.38,0,0,"∑Ò",127,93,220,0,0,0,208,188,394,2,0,0,0,3,6.5,217,271.2,125,151.1,95,126.6,0,0,10,20.6,29,15.4,81,100.2,127,138.9,8,37
"604",7.28,5.9,0,15.19,5.56,3.74,129.47,14.81,25.16,10.66,292.95,27,2459," «",65,36,8,0,0,93,134,81,4,8,0,0,203,0,0,101,156.3,76,121.2,25,35.1,0,0,12,12.6,5,23.1,30,45.7,65,94.8,3,21
